"cluid_mukey"	"profit12"	"profit14"
"2097019410370"	"117.42"	"-70.02"
"2097019410372"	"161.76"	"-39.32"
"2097019410374"	"111.09"	"-74.49"
"2097019410381"	"66.89"	"-105.19"
"2097019410383"	"60.55"	"-109.56"
"2097019410386"	"60.55"	"-109.56"
"2097019410408"	"167.96"	"-30.58"
"2097021410366"	"181.87"	"-18.39"
"2097021410370"	"137.53"	"-49.09"
"2097021410372"	"181.87"	"-18.39"
"2097021410374"	"131.20"	"-53.56"
"2097021410381"	"87.00"	"-84.26"
"2097021410383"	"80.66"	"-88.63"
"2097021410392"	"-134.15"	"-237.94"
"2097021410408"	"188.07"	"-9.65"
"2097022410366"	"387.48"	"-68.81"
"2097022410370"	"324.68"	"-106.51"
"2097022410372"	"387.48"	"-68.81"
"2097022410374"	"314.18"	"-111.87"
"2097022410404"	"335.13"	"-95.73"
"2097022410408"	"408.37"	"-58.03"
"2097022410410"	"146.81"	"-192.62"
"2097022410411"	"178.21"	"-176.48"
"2097039410366"	"399.86"	"-113.11"
"2097039410370"	"337.06"	"-150.56"
"2097039410372"	"399.86"	"-113.11"
"2097039410374"	"326.56"	"-155.89"
"2097039410402"	"347.51"	"-139.85"
"2097039410404"	"347.51"	"-139.85"
"2097039410408"	"420.75"	"-102.40"
"2097039410410"	"159.19"	"-236.12"
"2097041410370"	"395.55"	"-97.12"
"2097043410366"	"155.69"	"-45.64"
"2097043410372"	"155.69"	"-45.64"
"2097043410404"	"124.02"	"-67.60"
"2097043410408"	"161.89"	"-36.90"
"2097044410366"	"161.76"	"-39.32"
"2097044410372"	"161.76"	"-39.32"
"2097044410404"	"130.09"	"-61.28"
"2097044410408"	"167.96"	"-30.58"
"2097044410410"	"16.35"	"-140.35"
"2097045410366"	"160.83"	"-40.30"
"2097045410372"	"160.83"	"-40.30"
"2097045410404"	"129.16"	"-62.26"
"2097045410408"	"167.03"	"-31.56"
"2097045410410"	"15.42"	"-141.33"
"2097045410417"	"78.63"	"-97.42"
"2097045410420"	"78.63"	"-97.42"
"2097046410366"	"169.10"	"-117.04"
"2097046410370"	"124.76"	"-154.49"
"2097046410372"	"169.10"	"-117.04"
"2097046410404"	"137.43"	"-143.78"
"2097047410366"	"443.42"	"-75.16"
